company_name,business_type,industry,company_summary,confidence_score,data_source,original_url,normalised_url,resolved_url,scrape_status,error_notes
N2O,Agency,Marketing & Lead Gen,N2O helps businesses enhance their marketing strategies through innovative solutions.,Medium,scraped,n2o.com,https://n2o.com,https://n2o.com,success,
Results Driven REI,Coaching / Consulting,Real Estate,Results Driven REI helps real estate investors succeed through expert coaching and resources.,Low,scraped,Www.resultsdrivenrei.com,https://www.resultsdrivenrei.com,http://www.resultsdrivenrei.com,success,
The LC Biology Guy,Education / Course,Education,The LC Biology Guy helps students excel in Biology through tailored online grinds and quality study notes.,High,scraped,thelcbiologyguy.ie,https://thelcbiologyguy.ie,https://thelcbiologyguy.ie,success,
Clens Cleaning,Local / Trade Services,Home Services,Clens Cleaning helps busy San Diego families love their homes again through professional cleaning services.,High,scraped,www.clensclean.com,https://www.clensclean.com,https://www.clensclean.com,success,
Kettlebell Transformation,Coaching / Consulting,Fitness,Kettlebell Transformation helps busy men master nutrition and strength through kettlebell coaching.,High,scraped,kettlebelltransformation.co,https://kettlebelltransformation.co,https://kettlebelltransformation.co,success,
Dr Shaunna,Coaching / Consulting,Health & Wellness,Dr Shaunna helps health coaches achieve six-figure incomes through specialized coaching programs.,High,scraped,https://drshaunna.com,https://drshaunna.com,https://drshaunna.com,success,
On Point Chiropractic,Local / Trade Services,Health & Wellness,On Point Chiropractic helps individuals achieve long-lasting pain relief through personalized chiropractic care.,High,scraped,Onpointchiro.com,https://onpointchiro.com,https://onpointchiro.com,success,
Augusta Lawn Care Services,Local / Trade Services,Home Services,Augusta Lawn Care Services helps homeowners maintain their lawns and landscapes through professional care and maintenance.,High,scraped,https://www.augustalawncareservices.com/gretna,https://www.augustalawncareservices.com/gretna,https://www.augustalawncareservices.com/gretna,success,
Lead Mining Pros,Agency,Marketing & Lead Gen,Lead Mining Pros helps real estate professionals generate leads through cold calling and text messaging services.,High,scraped,Leadminingpros.com,https://leadminingpros.com,https://leadminingpros.com,success,
Holland Creatives,Agency,Marketing & Lead Gen,Holland Creatives helps clients capture their best moments through professional photography services.,High,scraped,byhollandcreatives.com,https://byhollandcreatives.com,https://byhollandcreatives.com,success,
Profitable Coach,Coaching / Consulting,Education,Profitable Coach helps online coaches and consultants land high-paying clients through proven systems.,High,scraped,https://connect.profitablecoach.net/home,https://connect.profitablecoach.net/home,https://connect.profitablecoach.net/home,success,
Andalus Institute,Education / Course,Education,Andalus Institute helps students understand the Qur'an through structured Arabic language programs.,High,scraped,andalusinstitute.com,https://andalusinstitute.com,http://andalusinstitute.com,success,
ZVOLT,Local / Trade Services,Home Services,ZVOLT helps homeowners and businesses maintain power through standby generator installation and repair services.,High,scraped,Getzvolt.com,https://getzvolt.com,https://getzvolt.com,success,
Vania Natural Wellness,Coaching / Consulting,Health & Wellness,Vania Natural Wellness helps individuals achieve a more defined body through personalized body assessments and plans.,High,scraped,https://vlanto.com/cuerpo-oferta-consulta,https://vlanto.com/cuerpo-oferta-consulta,https://vlanto.com/cuerpo-oferta-consulta,success,
Brooklyn Pasta Lab,E-commerce,Food & Hospitality,"Brooklyn Pasta Lab helps NYC chefs elevate their dishes through high-quality, fresh pasta delivered with care.",High,scraped,www.brooklynpastalab.com,https://www.brooklynpastalab.com,https://www.brooklynpastalab.com,success,
Wemple Leads,Local / Trade Services,Home Services,Wemple Leads helps homeowners connect with local handymen through targeted marketing strategies.,High,scraped,www.wempleleads.com,https://www.wempleleads.com,https://www.wempleleads.com,success,
Wedding Pro CEO,Coaching / Consulting,Education,Wedding Pro CEO helps wedding industry professionals grow their businesses through expert coaching and education.,High,scraped,weddingproceo.com,https://weddingproceo.com,https://weddingproceo.com,success,
Wealthy Expat,Coaching / Consulting,Finance & Wealth,Wealthy Expat helps individuals secure their future through citizenship and residency by investment programs.,High,scraped,wealthyexpat.com,https://wealthyexpat.com,https://wealthyexpat.com,success,
Mark Fuller,SaaS / Software,Technology,Mark Fuller helps developers optimize software performance through innovative engineering solutions.,Medium,scraped,markfuller.dev,https://markfuller.dev,https://markfuller.dev,success,
Marc Aurel Consulting,Coaching / Consulting,Health & Wellness,Marc Aurel Consulting helps entrepreneurs overcome stress and achieve clarity through psychological support and systematic approaches.,High,scraped,www.marcaurelconsulting.com,https://www.marcaurelconsulting.com,https://www.marcaurelconsulting.com,success,
